n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,32,0.01,16,0.7921810699588477,0.20781893004115226,0.7576422691345215,3.7443977375264537e-06
3,32,0.0001,16,0.7705761316872428,0.22942386831275718,1.5047688484191895,5.144725690417202e-06
4,256,0.001,256,0.8117283950617284,0.18827160493827155,7.6190338134765625,1.5801365991826475e-05
5,256,0.005,64,0.7911522633744856,0.20884773662551437,20.273451805114746,3.402324632082384e-05
6,32,0.0001,128,0.7870370370370371,0.2129629629629629,0.595247745513916,3.5397974983302014e-06
5,128,0.01,128,0.7808641975308642,0.21913580246913578,3.2950706481933594,8.104522960964852e-06
3,256,0.0005,64,0.8004115226337448,0.19958847736625518,10.711827039718628,2.0242189634237367e-05
3,128,0.005,128,0.7942386831275721,0.20576131687242794,2.1297974586486816,5.90529824490668e-06
3,256,0.0001,32,0.7942386831275721,0.20576131687242794,11.358428239822388,2.042561266475513e-05
3,256,0.0001,16,0.8034979423868313,0.19650205761316875,17.231462955474854,2.906401275436844e-05
1,256,0.0001,64,0.7705761316872428,0.22942386831275718,0.594174861907959,3.5284964157570213e-06
5,512,0.01,128,0.772633744855967,0.22736625514403297,46.86699056625366,7.602055991086791e-05
1,512,0.001,64,0.7942386831275721,0.20576131687242794,0.9506404399871826,4.0396713527542836e-06
2,256,0.05,32,0.7448559670781894,0.25514403292181065,6.230008125305176,1.220025975574133e-05
3,32,0.0001,32,0.7746913580246914,0.22530864197530864,0.8111093044281006,3.837508605670002e-06
4,64,0.005,32,0.7901234567901234,0.2098765432098766,1.479423999786377,5.007010626748438e-06
2,256,0.01,64,0.808641975308642,0.191358024691358,6.142997741699219,1.2414366800840486e-05
4,64,0.001,32,0.7818930041152263,0.21810699588477367,1.5776069164276123,5.175244167920899e-06
2,64,0.001,32,0.7993827160493827,0.2006172839506173,0.871772050857544,3.946171514462196e-06
3,256,0.0005,128,0.7993827160493827,0.2006172839506173,8.256006956100464,1.643697475087172e-05
3,256,0.0001,64,0.8065843621399177,0.1934156378600823,10.445297956466675,1.999190885970741e-05
4,256,0.005,128,0.7818930041152263,0.21810699588477367,10.478674411773682,2.0552822368617816e-05
6,64,0.01,16,0.7962962962962963,0.20370370370370372,3.6833086013793945,8.35216820299564e-06
6,64,0.0001,16,0.7870370370370371,0.2129629629629629,3.7882447242736816,8.44211557773042e-06
1,32,0.005,64,0.7890946502057613,0.2109053497942387,0.251436710357666,3.0443134853323566e-06
5,512,0.01,32,0.7870370370370371,0.2129629629629629,168.85878992080688,0.00025799498602499375
6,256,0.05,128,0.7407407407407407,0.2592592592592593,18.40106225013733,3.330099379988016e-05
2,256,0.0001,32,0.7952674897119342,0.20473251028806583,7.247491121292114,1.4245959993227512e-05
4,32,0.005,128,0.7911522633744856,0.20884773662551437,0.4228677749633789,2.8970700029208366e-06
4,128,0.005,32,0.8004115226337448,0.19958847736625518,5.4795262813568115,1.1278720331741312e-05
2,32,0.005,128,0.7952674897119342,0.20473251028806583,0.2684061527252197,2.5679403829477043e-06
1,64,0.001,16,0.7932098765432098,0.20679012345679015,0.8524360656738281,3.938974793725035e-06
5,512,0.005,64,0.7942386831275721,0.20576131687242794,87.82403492927551,0.00013684800899272547
4,512,0.0001,64,0.7932098765432098,0.20679012345679015,68.05161309242249,0.00010780018301770667
1,512,0.0001,256,0.7592592592592593,0.2407407407407407,1.111161708831787,4.286804716823335e-06
1,32,0.01,64,0.7932098765432098,0.20679012345679015,0.24569988250732422,3.0346518131984017e-06
6,256,0.001,32,0.8034979423868313,0.19650205761316875,25.132715940475464,4.088126953319246e-05
1,256,0.0005,256,0.7849794238683128,0.21502057613168724,0.47289466857910156,3.364660800742698e-06
1,256,0.05,128,0.7829218106995884,0.21707818930041156,0.33846092224121094,3.1980924553380646e-06
6,256,0.001,128,0.8127572016460906,0.18724279835390945,19.15107226371765,3.494442982530569e-05
4,512,0.005,32,0.8024691358024691,0.19753086419753085,136.25634169578552,0.0002242086244446754
3,32,0.0001,64,0.7705761316872428,0.22942386831275718,0.5091123580932617,2.780049740734931e-06
3,256,0.001,32,0.7880658436213992,0.2119341563786008,11.26197624206543,2.007686235565674e-05
2,32,0.005,32,0.7870370370370371,0.2129629629629629,0.6301045417785645,3.5797989803458953e-06
3,128,0.005,64,0.8045267489711934,0.19547325102880664,2.6634325981140137,6.745189460455507e-06
1,256,0.01,64,0.801440329218107,0.19855967078189296,0.5253543853759766,3.430036187227025e-06
3,512,0.0001,64,0.808641975308642,0.191358024691358,46.43767714500427,7.192279182670603e-05
