n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
3,512,0.01,128,0.8024691358024691,0.19753086419753085,34.426414251327515,5.879167958943446e-05
1,64,0.01,256,0.7962962962962963,0.20370370370370372,0.2604186534881592,1.916709817252863e-06
4,128,0.0005,256,0.8045267489711934,0.19547325102880664,6.394826173782349,1.295918960559213e-05
2,512,0.001,32,0.808641975308642,0.191358024691358,55.2795307636261,9.208220411969221e-05
4,64,0.0001,256,0.7860082304526749,0.21399176954732513,1.004065752029419,3.224308715255799e-06
5,64,0.001,256,0.7911522633744856,0.20884773662551437,1.5112595558166504,3.992614124126573e-06
1,256,0.001,128,0.7911522633744856,0.20884773662551437,0.6758871078491211,2.59165527759132e-06
1,256,0.0005,256,0.7849794238683128,0.21502057613168724,0.7044327259063721,2.6282126424858988e-06
1,128,0.0005,16,0.8055555555555556,0.19444444444444442,1.3721649646759033,3.7236686926212317e-06
2,32,0.001,64,0.7890946502057613,0.2109053497942387,0.5571069717407227,2.3734206295924726e-06
2,512,0.01,64,0.7952674897119342,0.20473251028806583,33.795156717300415,5.631185578400839e-05
3,32,0.001,32,0.7880658436213992,0.2119341563786008,1.2221877574920654,3.471812265927494e-06
5,128,0.01,128,0.7808641975308642,0.21913580246913578,5.316881895065308,1.0267934191412033e-05
3,256,0.01,64,0.801440329218107,0.19855967078189296,19.980104207992554,3.525628517472688e-05
4,32,0.0005,32,0.7932098765432098,0.20679012345679015,1.459716558456421,3.866640588688074e-06
2,32,0.005,64,0.7849794238683128,0.21502057613168724,0.7089970111846924,2.6723128708424413e-06
1,128,0.001,64,0.7921810699588477,0.20781893004115226,0.9314641952514648,3.0154196280302925e-06
2,32,0.0001,64,0.7777777777777778,0.2222222222222222,0.5171492099761963,2.3172099995466073e-06
1,128,0.005,256,0.7880658436213992,0.2119341563786008,0.3212621212005615,1.9975665565055833e-06
2,64,0.0005,64,0.7942386831275721,0.20576131687242794,0.7565765380859375,2.731901546498515e-06
2,128,0.001,64,0.7942386831275721,0.20576131687242794,2.015338182449341,4.7655471330785125e-06
1,256,0.005,16,0.8004115226337448,0.19958847736625518,1.7438132762908936,4.333822129766835e-06
1,512,0.0001,128,0.7757201646090535,0.22427983539094654,1.4050428867340088,3.7666626265395986e-06
5,256,0.01,128,0.7911522633744856,0.20884773662551437,20.63817000389099,4.002809334804203e-05
2,128,0.001,256,0.7932098765432098,0.20679012345679015,2.7004034519195557,6.118790435019624e-06
4,512,0.005,256,0.8004115226337448,0.19958847736625518,30.881994485855103,5.3017473073960394e-05
2,256,0.01,32,0.8034979423868313,0.19650205761316875,11.81969165802002,2.1084820956638377e-05
2,128,0.001,32,0.7818930041152263,0.21810699588477367,3.09240984916687,6.514101084802475e-06
1,512,0.005,256,0.7973251028806584,0.2026748971193416,1.744964361190796,4.351857701359601e-06
5,128,0.001,128,0.7860082304526749,0.21399176954732513,5.689162015914917,1.0866342095013796e-05
3,32,0.005,256,0.7973251028806584,0.2026748971193416,0.3874633312225342,2.1173697641127065e-06
1,128,0.01,64,0.7932098765432098,0.20679012345679015,0.5418753623962402,2.3503829627044733e-06
1,64,0.005,256,0.7849794238683128,0.21502057613168724,0.2338874340057373,1.8799630165654613e-06
2,32,0.0001,256,0.7386831275720165,0.2613168724279835,0.2629117965698242,1.920404673582322e-06
1,32,0.0005,16,0.7839506172839507,0.21604938271604934,1.1939890384674072,3.4403192089691253e-06
4,128,0.0001,64,0.7880658436213992,0.2119341563786008,4.836754322052002,9.36550951032903e-06
2,64,0.01,64,0.8096707818930041,0.19032921810699588,0.7279438972473145,2.6831762064627352e-06
1,64,0.001,256,0.7849794238683128,0.21502057613168724,0.22654175758361816,1.8408243430983858e-06
4,64,0.001,256,0.7901234567901234,0.2098765432098766,1.1265692710876465,3.308502764351334e-06
3,512,0.0001,256,0.8034979423868313,0.19650205761316875,25.612048149108887,4.381858054783357e-05
2,512,0.0001,64,0.7993827160493827,0.2006172839506173,44.667747259140015,7.38802615087242e-05
4,128,0.0005,64,0.7880658436213992,0.2119341563786008,4.8557374477386475,9.432305132687123e-06
4,256,0.01,32,0.7788065843621399,0.2211934156378601,29.01930856704712,4.86814325051648e-05
